"subject";"variable";"sentence";"rating"
"AAAAA";"ROOF";"Five otters run outside";""
"BBBBB";"ROOF";"Orbit rockets fly offshore";""
"CCCCC";"ROOF";"Officer Run offers fun";""
"DDDDD";"ROOF";"Foxes occupy oiled rails";""
"EEEEE";"ROOF";"Rainforests often overcome fires";""
"AAAAA";"ELSE";"Lovely seals elect establishment";""
"BBBBB";"ELSE";"Elephants love stock exchanges";""
"CCCCC";"ELSE";"Sick elders leave earth";""
"DDDDD";"ELSE";"Snakes entertain lurking evil";""
"EEEEE";"ELSE";"Edison likes seing electricity";""
